optionArchive,dataElementArchive,comment,dataElementNouveau,categorieOptionComboNouveau
aACLznnqlIw:eeruCK8vkwY,nwSQWkBv1DE,IMPORT_SNIS <=2015 Doses Doses BCG administrees ancien,fFvNf25ygzR,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,TPQbNaPgNo6,IMPORT_SNIS <=2015 Doses Doses Pentavalent 1 administrees ancien,r1RSxDuAR5y,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,PKYndGX1kRK,IMPORT_SNIS <=2015 Doses Doses Pentavalent 2 administrees ancien,UMy6pCdqJsR,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,WuK4qSgSTG1,IMPORT_SNIS <=2015 Doses Doses Pentavalent 3 administrees ancien,FadFLbD43Xj,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,qG8CUzq47Ri,IMPORT_SNIS <=2015 Doses Doses VAA administrees ancien,uz1uG2813zc,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,QKN4VJfwmXu,IMPORT_SNIS <=2015 Doses Doses VPO 0 administrees ancien,TXQQju9tL8y,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,ctYPtpo7l8r,IMPORT_SNIS <=2015 Doses Doses VPO 1 administrees ancien,uvPHYoGOMSb,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,I62joLN1tSu,IMPORT_SNIS <=2015 Doses Doses VPO 2 administrees ancien,du5IAefx8v2,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,amHthJzdrYG,IMPORT_SNIS <=2015 Doses Doses VPO 3 administrees ancien,T2fKoTG85pR,pIjJC4ub3em
aACLznnqlIw:eeruCK8vkwY,dHPXgfuAdZm,IMPORT_SNIS <=2015 Doses Doses VAR administrees ancien,olWzC3aTGCK,pIjJC4ub3em
aACLznnqlIw:C8CIw3tHsdO,nwSQWkBv1DE,IMPORT_SNIS <=2015 Doses Doses BCG administrees ancien,fFvNf25ygzR,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,TPQbNaPgNo6,IMPORT_SNIS <=2015 Doses Doses Pentavalent 1 administrees ancien,r1RSxDuAR5y,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,PKYndGX1kRK,IMPORT_SNIS <=2015 Doses Doses Pentavalent 2 administrees ancien,UMy6pCdqJsR,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,WuK4qSgSTG1,IMPORT_SNIS <=2015 Doses Doses Pentavalent 3 administrees ancien,FadFLbD43Xj,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,qG8CUzq47Ri,IMPORT_SNIS <=2015 Doses Doses VAA administrees ancien,uz1uG2813zc,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,QKN4VJfwmXu,IMPORT_SNIS <=2015 Doses Doses VPO 0 administrees ancien,TXQQju9tL8y,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,ctYPtpo7l8r,IMPORT_SNIS <=2015 Doses Doses VPO 1 administrees ancien,uvPHYoGOMSb,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,I62joLN1tSu,IMPORT_SNIS <=2015 Doses Doses VPO 2 administrees ancien,du5IAefx8v2,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,amHthJzdrYG,IMPORT_SNIS <=2015 Doses Doses VPO 3 administrees ancien,T2fKoTG85pR,tFdansXIMbw
aACLznnqlIw:C8CIw3tHsdO,dHPXgfuAdZm,IMPORT_SNIS <=2015 Doses Doses VAR administrees ancien,olWzC3aTGCK,tFdansXIMbw
